family;mode;size;align_method;tree_method;slave;tc
seatoxin;slave;1000;CLUSTALO;CLUSTALO;mbed;57.1
seatoxin;slave;1000;CLUSTALO;CLUSTALO;parttree;51.0
seatoxin;slave;1000;CLUSTALO;CLUSTALO;famsadnd;57.1
seatoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;57.1
seatoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;59.2
seatoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;57.1
seatoxin;slave;1000;CLUSTALO;FAMSA;mbed;57.1
seatoxin;slave;1000;CLUSTALO;FAMSA;parttree;51.0
seatoxin;slave;1000;CLUSTALO;FAMSA;famsadnd;57.1
seatoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;57.1
seatoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;53.1
seatoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;57.1
seatoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;44.9
seatoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;42.9
seatoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;46.9
seatoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;40.8
seatoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;42.9
seatoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;44.9
seatoxin;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;49.0
seatoxin;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;42.9
seatoxin;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;44.9
seatoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;26.5
seatoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;38.8
seatoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;44.9
seatoxin;slave;1000;FAMSA;CLUSTALO;mbed;46.9
seatoxin;slave;1000;FAMSA;CLUSTALO;parttree;46.9
seatoxin;slave;1000;FAMSA;CLUSTALO;famsadnd;46.9
seatoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;46.9
seatoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;46.9
seatoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;46.9
seatoxin;slave;1000;FAMSA;FAMSA;mbed;46.9
seatoxin;slave;1000;FAMSA;FAMSA;parttree;46.9
seatoxin;slave;1000;FAMSA;FAMSA;famsadnd;46.9
seatoxin;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;46.9
seatoxin;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;49.0
seatoxin;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;46.9
hip;slave;1000;CLUSTALO;CLUSTALO;mbed;65.5
hip;slave;1000;CLUSTALO;CLUSTALO;parttree;56.0
hip;slave;1000;CLUSTALO;CLUSTALO;famsadnd;45.2
hip;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;65.5
hip;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;64.3
hip;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;45.2
hip;slave;1000;CLUSTALO;FAMSA;mbed;65.5
hip;slave;1000;CLUSTALO;FAMSA;parttree;45.2
hip;slave;1000;CLUSTALO;FAMSA;famsadnd;45.2
hip;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;65.5
hip;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;59.5
hip;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;45.2
hip;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;38.1
hip;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;44.0
hip;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;42.9
hip;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;44.0
hip;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;38.1
hip;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;35.7
hip;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;39.3
hip;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;35.7
hip;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;41.7
hip;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;27.4
hip;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;41.7
hip;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;38.1
hip;slave;1000;FAMSA;CLUSTALO;mbed;71.4
hip;slave;1000;FAMSA;CLUSTALO;parttree;64.3
hip;slave;1000;FAMSA;CLUSTALO;famsadnd;61.9
hip;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;71.4
hip;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;56.0
hip;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;61.9
hip;slave;1000;FAMSA;FAMSA;mbed;66.7
hip;slave;1000;FAMSA;FAMSA;parttree;59.5
hip;slave;1000;FAMSA;FAMSA;famsadnd;61.9
hip;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;66.7
hip;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;66.7
hip;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;61.9
scorptoxin;slave;1000;CLUSTALO;CLUSTALO;mbed;75.3
scorptoxin;slave;1000;CLUSTALO;CLUSTALO;parttree;71.2
scorptoxin;slave;1000;CLUSTALO;CLUSTALO;famsadnd;74.0
scorptoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;75.3
scorptoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;64.4
scorptoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;74.0
scorptoxin;slave;1000;CLUSTALO;FAMSA;mbed;78.1
scorptoxin;slave;1000;CLUSTALO;FAMSA;parttree;56.2
scorptoxin;slave;1000;CLUSTALO;FAMSA;famsadnd;74.0
scorptoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;74.0
scorptoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;63.0
scorptoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;74.0
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;6.8
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;24.7
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;15.1
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;30.1
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;37.0
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;17.8
scorptoxin;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;43.8
scorptoxin;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;49.3
scorptoxin;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;26.0
scorptoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;37.0
scorptoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;47.9
scorptoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;26.0
scorptoxin;slave;1000;FAMSA;CLUSTALO;mbed;74.0
scorptoxin;slave;1000;FAMSA;CLUSTALO;parttree;69.9
scorptoxin;slave;1000;FAMSA;CLUSTALO;famsadnd;72.6
scorptoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;78.1
scorptoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;65.8
scorptoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;72.6
scorptoxin;slave;1000;FAMSA;FAMSA;mbed;72.6
scorptoxin;slave;1000;FAMSA;FAMSA;parttree;67.1
scorptoxin;slave;1000;FAMSA;FAMSA;famsadnd;72.6
scorptoxin;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;72.6
